69 |input  62:1 63:1 81:1 158:15.25
70 |input  57:1 97:1 158:17.5 |output 57:1 97:1
70 |input  56:1 57:1 96:1 97:1 158:17.25
70 |input  43:1 81:1 158:17.0
70 |input  43:1 81:1 158:16.75
70 |input  43:1 81:1 158:16.5
70 |input  42:1 43:1 80:1 81:1 158:16.25
70 |input  63:1 81:1 158:16.0
70 |input  63:1 81:1 158:15.75
70 |input  63:1 81:1 158:15.5
71 |input  57:1 97:1 158:17.75 |output 57:1 97:1
71 |input  57:1 97:1 158:17.5
71 |input  56:1 57:1 96:1 97:1 158:17.25
71 |input  43:1 81:1 158:17.0
71 |input  43:1 81:1 158:16.75
71 |input  43:1 81:1 158:16.5
71 |input  42:1 43:1 80:1 81:1 158:16.25
71 |input  63:1 81:1 158:16.0
71 |input  63:1 81:1 158:15.75
72 |input  57:1 97:1 158:18.0 |output 52:1 53:1 94:1 95:1
72 |input  57:1 97:1 158:17.75
72 |input  57:1 97:1 158:17.5
72 |input  56:1 57:1 96:1 97:1 158:17.25
72 |input  43:1 81:1 158:17.0
72 |input  43:1 81:1 158:16.75
72 |input  43:1 81:1 158:16.5
72 |input  42:1 43:1 80:1 81:1 158:16.25
72 |input  63:1 81:1 158:16.0
73 |input  52:1 53:1 94:1 95:1 158:18.25 |output 53:1 95:1
73 |input  57:1 97:1 158:18.0
73 |input  57:1 97:1 158:17.75
73 |input  57:1 97:1 158:17.5
73 |input  56:1 57:1 96:1 97:1 158:17.25
73 |input  43:1 81:1 158:17.0
73 |input  43:1 81:1 158:16.75
73 |input  43:1 81:1 158:16.5
73 |input  42:1 43:1 80:1 81:1 158:16.25
